register,variable_name,documented_name,unit,data_type,values,,writable,read_interval,note
60,activepowerpercentcmd,ActivePowerPercentCMD,%,,0-100,,W,,Active power percentage set value
61,reactivepowerpercentcmd,ReactivePowerPercentCMD,%,,0-60,,W,,Reactive power percentage set value
62,pfcmd,PFCMD,0.001,,750-1000,,W,,1750- 2000
63,powersoftstartslope,PowerSoftStartSlope,0.1%/min,,36526,,W,,Loading rate
64,chargepowerpercentcmd,ChargePowerPercentCMD,%,,0-100,,W,,Charging power percentage setting in integers
65,dischgpowerpercentcmd,DischgPowerPercentCMD,%,,0-100,,W,,Discharging power percentage setting
66,acchgpowercmd,ACChgPowerCMD,%,,0-100,,W,,AC charge percentage setting
67,acchgsoclimit,ACChgSOCLimit,%,,0-100,,W,,SOC limit setting for AC charging
68.b0,acchgstarthour,ACChgStartHour,hour,8bit,0-23,,W,,AC charging start time - hour setting.
68.b8,acchgstartminute,ACChgStartMinute,min,8bit,0-59,,W,,AC charging start time_minute setting
69.b0,acchgendhour,ACChgEndHour,hour,8bit,0-23,,W,,AC charging end time_hour setting
69.b8,acchgendminute,ACChgEndMinute,min,8bit,0-59,,W,,AC charging end time_minute setting
70.b0,acchgstarthour1,ACChgStartHour1,hour,8bit,0-23,,W,,AC charging start time_hour setting
70.b8,acchgstartminute1,ACChgStartMinute1,min,8bit,0-59,,W,,AC charging start time_minute setting
71.b0,acchgendhour1,ACChgEndHour1,hour,8bit,0-23,,W,,AC charging end time_hour setting
71.b8,acchgendminute1,ACChgEndMinute1,min,8bit,0-59,,W,,AC charging end time_minute setting
72.b0,acchgstarthour2,ACChgStartHour2,hour,8bit,0-23,,W,,AC charging start time_hour setting
72.b8,acchgstartminute2,ACChgStartMinute2,min,8bit,0-59,,W,,AC charging start time_minute setting
73.b0,acchgendhour2,ACChgEndHour2,hour,8bit,0-23,,W,,AC charging end time_hour setting
73.b8,acchgendminute2,ACChgEndMinute2,min,8bit,0-59,,W,,AC charging end time_minute setting
74,chgfirstpowercmd,ChgFirstPowerCMD,%,,0-100,,W,,Charging priority percentage setting
75,chgfirstsoclimit,ChgFirstSOCLimit,%,,0-100,,W,,Charging priority SOC limit setting
76.b0,chgfirststarthour,ChgFirstStartHour,hour,8bit,0-23,,W,,Charging priority start time_hour setting
76.b8,chgfirststartminute,ChgFirstStartMinute,min,8bit,0-59,,W,,Charge priority start time_min setting
77.b0,chgfirstendhour,ChgFirstEndHour,hour,8bit,0-23,,W,,Charging priority end time_hour setting
77.b8,chgfirstendminute,ChgFirstEndMinute,min,8bit,0-59,,W,,Charging priority end time_minute setting
78.b0,chgfirststarthour1,ChgFirstStartHour1,hour,8bit,0-23,,W,,Charging priority start time_hour setting
78.b8,chgfirststartminute1,ChgFirstStartMinute1,min,8bit,0-59,,W,,Charging priority start time_min setting
79.b0,chgfirstendhour1,ChgFirstEndHour1,hour,8bit,0-23,,W,,Charging priority end time_hour setting
79.b8,chgfirstendminute1,ChgFirstEndMinute1,min,8bit,0-59,,W,,Charging priority end time_minute setting
80.b0,chgfirststarthour2,ChgFirstStartHour2,hour,8bit,0-23,,W,,Charging priority start time_hour setting
80.b8,chgfirststartminute2,ChgFirstStartMinute2,min,8bit,0-59,,W,,Charging priority start time_minute setting
81.b0,chgfirstendhour2,ChgFirstEndHour2,hour,8bit,0-23,,W,,Charging priority end time_hour setting
81.b8,chgfirstendminute2,ChgFirstEndMinute2,min,8bit,0-59,,W,,Charging priority end time_minute setting
82,forceddischgpowercmd,ForcedDischgPowerCMD,%,,0-100,,W,,Forced discharge percentage setting
83,forceddischgsoclimit,ForcedDischgSOCLimit,%,,0-100,,W,,Forced discharge SOC limit setting
84.b0,forceddischgstarthour,ForcedDischgStartHour,hour,8bit,0-23,,W,,Forced discharge start time_hour setting
84.b8,forceddischgstartminute,ForcedDischgStartMinute,min,8bit,0-59,,W,,Forced discharge start time_minute setting
85.b0,forceddischgendhour,ForcedDischgEndHour,hour,8bit,0-23,,W,,Forced discharge end time_hour setting
85.b8,forceddischgendminute,ForcedDischgEndMinute,min,8bit,0-59,,W,,Forced discharge end time_minute setting
86.b0,forceddischgstarthour1,ForcedDischgStartHour1,hour,8bit,0-23,,W,,Forced discharge start time_hour setting
86.b8,forceddischgstartminute1,ForcedDischgStartMinute1,min,8bit,0-59,,W,,Forced discharge start time_minute setting
87.b0,forceddischgendhour1,ForcedDischgEndHour1,hour,8bit,0-23,,W,,Forced discharge end time_hour setting
87.b8,forceddischgendminute1,ForcedDischgEndMinute1,min,8bit,0-59,,W,,Forced discharge end time_minute setting
88.b0,forceddischgstarthour2,ForcedDischgStartHour2,hour,8bit,0-23,,W,,Forced discharge start time_hour setting
88.b8,forceddischgstartminute2,ForcedDischgStartMinute2,min,8bit,0-59,,W,,Forced discharge start time_minute setting
89.b0,forceddischgendhour2,ForcedDischgEndHour2,hour,8bit,0-23,,W,,Forced discharge end time_hour setting
89.b8,forceddischgendminute2,ForcedDischgEndMinute2,min,8bit,0-59,,W,,Forced discharge end time_minute setting
90,epsvoltageset,EPSVoltageSet,1V,,208~277,,W,,240-Off-grid output voltage level setting
91,epsfreqset,EPSFreqSet,1Hz,,50~60,,W,,60
92,lockingridvforpfcurve,LockInGridVForPFCurve,0.1V,,2300-3000,,W,,cosphi(P)lock in voltage
93,lockoutgridvforpfcurve,LockOutGridVForPFCurve,0.1V,,1500-3000,,W,,cosphi(P)lock out voltage
94,lockinpowerforqvcurve,LockInPowerForQVCurve,%,,0-100,,W,,Q(V) lock in power
95,lockoutpowerforqvcurve,LockOutPowerForQVCurve,%,,0-100,,W,,Q(V) lock out power
96,delaytimeforqvcurve,DelayTimeForQVCurve,cycles,,0-2000,,W,,Q(V) delay
97,delaytimeforoverfderate,DelayTimeForOverFDerate,cycles,,0-1000,,W,,Overfrequency load reduction delay
98,autoteststart,AutoTestStart,,,0/1,,R,,0-Stop 1-Start
99,chargevoltref,ChargeVoltRef,0.1V,,500-590,,W,,Lead-acid battery charging specified voltage
100,cutvoltfordischg,CutVoltForDischg,0.1V,,400-520,,W,,Lead-acid battery discharge cut- off voltage
101,chargecurr,ChargeCurr,%A,,0-140,,W,,Charging current
102,dischgcurr,DischgCurr,%A,,0-140,,W,,Discharging current
103,maxbackflow,MaxBackFlow,%,,0-100,,W,,Feed-in grid power setting
104,dischgchgswcmd,DischgChgSWCMD,,,0-2,,R,,0-No action 1-Discharge to charge 2-charge to discharge
105,eod,EOD,%,,10~90,,W,,Cut SOC for discharging
106,temprlowerlimitdischg,TemprLowerLimitDischg,0.1C,,0-65536,,W,,Lead-acid Temperature low limit for discharging
107,temprupperlimitdischg,TemprUpperLimitDischg,0.1C,,0-65536,,W,,Lead-acid Temperature high limit for discharging
108,temprlowerlimitchg,TemprLowerLimitChg,0.1C,,0-65536,,W,,Lead-acid Temperature low limit for charging
